modelo,MR0,MP0,diff0,MR1,MP1,diff1,MR2,MP2,diff2
DT,24108153,12970982.749999998,11137170.250000002,19799516,14202340.714285715,5597175.285714285,22218738,12970982.749999998,9247755.250000002
MLP,24108153,19796466.858731057,4311686.1412689425,19799516,17986611.63438151,1812904.3656184897,22218738,18578952.563592747,3639785.436407253
Lasso,24108153,19514516.039608214,4593636.960391786,19799516,17838590.02675116,1960925.9732488394,22218738,18448144.30428417,3770593.6957158297
Linear,24108153,19734614.83906511,4373538.160934892,19799516,18110045.952495977,1689470.0475040227,22218738,18820247.388263527,3398490.6117364727
Ridge,24108153,19658170.89873761,4449982.101262391,19799516,18028071.76080611,1771444.2391938902,22218738,18732942.13831835,3485795.8616816513
