NIVEL,BALANCE GENERAL,Codigo,proyeccion,ene-13,feb-13,mar-13,abr-13,may-13,jun-13,jul-13,ago-13,sep-13,oct-13,nov-13,dic-13,ene-14,feb-14,mar-14,abr-14,may-14,jun-14,jul-14,ago-14,sep-14,oct-14,nov-14,dic-14,ene-15,feb-15,mar-15,abr-15,may-15,jun-15,jul-15,ago-15,sep-15,oct-15,nov-15,dic-15,ene-16,feb-16,mar-16,abr-16,may-16,jun-16,jul-16,ago-16,sep-16,oct-16,nov-16,dic-16,ene-17,feb-17,mar-17,abr-17,may-17,jun-17,jul-17,ago-17,sep-17,oct-17,nov-17,dic-17,ene-18,feb-18,mar-18,abr-18,may-18,jun-18,jul-18,ago-18,sep-18,oct-18,nov-18,dic-18,ene-19,feb-19,mar-19,abr-19,may-19,jun-19,jul-19,ago-19,sep-19,oct-19,nov-19,dic-19,ene-20,feb-20,mar-20,abr-20,may-20,jun-20,jul-20,ago-20,sep-20,oct-20,nov-20,dic-20,ene-21,feb-21,mar-21,abr-21,may-21,jun-21,jul-21,ago-21,sep-21,oct-21,nov-21,dic-21,ene-22,feb-22,mar-22,abr-22,may-22,jun-22,jul-22,ago-22,sep-22,oct-22,nov-22,dic-22,ene-23,feb-23,mar-23,abr-23,may-23,jun-23,jul-23,ago-23,sep-23,oct-23,nov-23,dic-23,ene-24,feb-24,mar-24,abr-24,may-24,jun-24,jul-24,ago-24,sep-24,oct-24,nov-24,dic-24,ene-25,feb-25,mar-25
3,Resultado por tenencia de activos no monetarios,30211, SI , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
3,Incremento por actualización del resultado por tenencia de activos no monetarios,30212, SI , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
3,Resultado neto,30213, SI ,506477,783300,224403,497194,801967,1069797,1671461,2196639,2343080,2484852,2549533,2172799,687117,913069,2058034,1835095,2483973,3208937,3785079,3803341,4431961,4757217,5468196,5910857,641189,991670,1926322,2672600,2997698,3413320,4849384,5214775,7394972,7645141,8032943,8245727,468810,1132583,1714838,2462937,2991622,3659554,4397347,5187078,5964226,6784802,6756599,7576088,1527550,1664214,2026708,1784160,2238859,2774955,3578183,4375603,4311159,6362075,6363443,8738490,1955040,2361554,2019995,2590627,3372636,4490779,4927935,5471637,6623183,6944537,7533124,9635508,2539654,3312711,3363479,3227740,4378406,5695909,5891577,5940811,7484606,7816273,8086097,16075880,1136038,1855916,2134657,2790846,3254649,4886292,6142973,6671657,7044361,7205293,7915267,14109940,1151170,1733615,3474394,4301210,5620498,6590166,7008276,8362588,9520933,10244172,10365347,16449678,1884819,2697263,4408408,4698452,6177330,7314188,7655378,9343037,10174364,11659519,12429249,24767029,1920594,2459627,4084370,5270397,7488590,7855588,8970208,11584572,12379430,13740122,31017753,32769314,3835816,6147673,9004970,11955916,15058686,17579622,20239595,23457159,26696889,29498881,31847405,34315050,4420136,7102388,9416839
2,Ingresos por intereses,401,NO,1823203,3486489,5298487,7098285,8894047,10597791,12715883,14603743,16458972,18334635,20290440,22291797,1992993,3760443,5756275,7787880,9848357,11912647,13985564,16106088,18178481,20324598,22454592,24979904,2265850,4280035,6529193,8721297,11201256,13433973,15795496,18338447,20789101,23339842,26122687,28735716,2579627,4995003,7650835,10245637,12922592,15569887,18433426,21587386,24452861,27443200,30234217,33539107,2985159,5652269,8711877,11690514,14780629,17927769,21177428,24564183,27774371,33144411,36465682,42080461,3547780,6694747,10232598,13750151,17378172,21360155,25082773,28885400,32665137,36593821,40606169,49210302,4159605,7838830,11849231,15840109,20292412,24402566,28671612,33084284,38145739,42560415,46856906,59470816,4535110,8819514,13387535,17724291,22148627,26616223,31135729,35687312,40108558,44679311,49101712,60415221,4764328,9040707,13874398,18489056,23373022,28327062,33372264,39325871,44462963,49640250,54751549,65130195,5525569,10428934,18889820,24197214,29771776,35296675,41164102,47113597,52880876,59096670,65089229,81909505,6353393,12154174,18720164,25036313,31725616,38326407,45429579,56446440,63563870,70877004,93310127,102309010,9080189,17710787,27064136,36344198,45990545,55289676,65212450,75270340,85165821,95268860,105303307,115873688,10743955,20277993,30945939
3,Intereses de disponibilidades,40101, SI ,139144,292955,0,0,0,0,1699,1728,1728,1728,1728,1728,0,0,0,18,59,135,377,609,849,1081,1080,1080,0,0,0,0,0,0,0,0,70,117,117,116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,Intereses y rendimientos a favor provenientes de inversiones en valores,40102, SI ,0,0,439879,600537,717894,801385,946701,1085384,1196298,1278502,1473903,1563498,131563,193631,268421,448936,581837,690639,779282,877020,936496,1014543,1083231,1311575,126911,210088,298009,410912,615820,721879,844991,1077494,1266928,1431016,1584281,1759804,178111,370907,623340,869788,1128313,1396405,1685419,1990466,2288315,2578272,2732925,3219683,182018,356126,578434,796471,996038,1218477,1474114,1858416,2128523,4432780,4730047,6618145,351710,597327,878617,1196927,1477455,1751517,2062835,2376404,2709564,3034317,3496510,8291414,366147,586631,744538,925104,1409181,1619799,1838586,2097483,2306853,2523501,2731949,9873227,225457,412229,609542,794010,974628,1330366,1513215,1726102,1904776,2116969,2301887,8212874,314631,591212,605785,817905,1046498,1445306,1716687,1961243,2205964,2465469,2761514,8031464,363946,666713,1017101,1372754,1756139,2172557,2667598,3270629,3839294,4516867,5157166,16388692,759367,1417615,2146822,2785851,3375251,3973830,4857385,5751755,6546641,7232184,23200772,25406285,2254272,4453871,6848702,9291312,11773194,14051240,16588333,19110750,21466908,23784108,26146411,28502990,2430998,4495126,6754384
3,Intereses y rendimientos a favor en operaciones de reporto,40103, SI ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1418,1418,1418,23494,61023,72323,5299,5299,5299,5299,5299,12023,12023,12023,12023,12023,12023,12023,0,0,0,0,0,0,0,0,0,0,0,17949,5935,7877,7877,7877,7877,7877,7877,7877,7877,7877,7877,14808,13863,13863,13863,13863,13863,13863,13863,13863,13863,13863,13863,18747,22464,22464,22464,22464,22464,22464,22464,22464,22464,22464,22464,33253,20708,20708,20708,20708,20708,20708,20708,20708,20708,20708,20708,30976,19366,19366,19366,19366,19366,19366,19366,19366,19366,19366,19366,19366,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,Intereses de cartera de crédito vigente,40104,NO,1613212,3063946,4677912,6227602,7824223,9399198,10964604,12619369,14258582,15951913,17631364,19416308,1755963,3322353,5102133,6868034,8658251,10452042,12335072,14270773,16159217,18172751,20095426,22167850,2084238,3917493,5983162,7994789,10063204,12078085,14231895,16481372,18683945,20974316,23200418,25537692,2300941,4412326,6706472,8940325,11270909,13585133,16053293,18578692,21045935,23661669,26181779,28884709,2703387,5148418,7909155,10628428,13443313,16204546,19122824,22073598,24981000,27993562,30963331,34035956,3142493,5992882,9212041,12348585,15639947,18798606,22160647,25578596,28928781,32462027,35975885,39685683,3618696,6962720,10735064,14441964,18319262,22108291,26096907,30128552,34011016,38062676,42015433,46052813,4154868,8089070,12334334,16257711,20260692,24236022,28413840,32690529,36785356,41043424,45159603,49399148,4252887,8148395,12476963,16729835,21175616,25572054,30214423,34935074,39575883,44425790,49159277,54113761,4935571,9458160,14327882,19199724,24253656,29177623,34353344,39583025,44695888,50020763,55260462,60711825,5404604,10390002,16069803,21660045,27480775,33304525,39473652,45566181,51815091,58349097,64741911,71432728,6679895,13005633,19896868,26643144,33669446,40634443,47944399,55421548,62785838,70484708,78022729,85778050,8026725,15348104,23680433
4,Créditos comerciales,4010401, SI ,0,0,0,0,7,16,16,16,16,16,16,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,600,8250,22151,65920,133234,218523,320053,427226,548575,688059,826089,977804,1135609,1311796,179888,338136,515775,686357,867393,1040377,1218104,1397154,1568466,1744836,1917324,2092201,167625,321096,491724,660492,833516,1000572,1180350,1362470,1545263,1735923,1923954,2119126,192400,371594,558868,743029,938261,1132091,1342394,1556299,1761147,1974330,2191437,2417242,217288,404523,618616
4,Créditos de consumo,4010402, SI ,1613212,3063946,4677912,6227602,7824191,9399156,10964562,12619327,14258540,15951871,17631322,19416266,1755963,3322353,5102133,6868034,8658251,10452042,12335072,14270773,16159217,18172751,20095426,22167850,2084238,3917493,5983162,7994789,10063204,12078085,14231895,16481372,18683945,20974316,23200418,25537692,2300941,4412326,6706472,8940325,11270909,13585133,16053293,18578692,21045935,23661669,26181779,28884709,2703387,5148418,7909155,10628428,13443313,16204546,19122824,22073598,24981000,27993562,30963331,34035956,3142493,5992882,9212041,12348585,15639947,18798606,22160647,25578596,28928781,32462027,35975885,39685683,3618696,6962720,10735064,14441964,18319262,22108291,26096907,30128552,34011016,38062676,42015433,46052813,4154868,8089070,12334334,16257711,20260692,24236022,28413840,32690529,36785356,41043424,45159003,49390898,4230736,8082475,12343729,16511312,20855563,25144828,29665848,34247015,38749794,43447986,48023668,52801965,4755683,9120024,13812107,18513367,23386263,28137246,33135240,38185871,43127422,48275927,53343138,58619624,5236979,10068906,15578079,20999553,26647259,32303953,38293302,44203711,50269828,56613174,62817957,69313602,6487495,12634039,19338000,25900115,32731185,39502352,46602005,53865249,61024691,68510378,75831292,83360808,7809437,14943581,23061817
4,Créditos a la vivienda,4010403, SI ,0,0,0,0,25,26,26,26,26,26,26,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,Intereses de cartera de crédito vencida,40105,NO,70847,129588,180696,270146,351930,397208,802879,897262,1002364,1102492,1183445,1310263,105467,244459,385721,470892,608210,769831,870833,957686,1081919,1136223,1274855,1499399,54701,152454,248022,315596,522232,634009,718610,779581,838158,934393,1337871,1438104,100575,211770,321023,435524,523370,588349,693296,1016810,1117193,1179765,1258490,1362392,94455,142426,218989,260316,335979,492723,568467,620146,652825,706046,760281,1414337,53577,104538,141940,204639,260769,810031,859290,930399,1026791,1097476,1133773,1215255,168827,281602,361752,465164,556092,666599,728242,850372,1819993,1966361,2101647,3529968,140922,304352,429796,658707,899444,1035972,1194811,1256818,1404563,1505055,1626359,2784452,174346,278636,769186,918852,1128444,1287238,1418690,2407090,2658652,2726527,2808294,2951717,205344,283353,3524129,3604028,3741273,3925787,4122452,4239235,4324986,4538332,4650893,4778012,170056,327191,484173,571051,850224,1028686,1079176,5109138,5182772,5276357,5348078,5450631,146022,251283,318566,409742,547905,603993,679718,738042,913075,1000044,1134167,1592648,286232,434763,511122
4,Créditos comerciales,4010501, SI ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,10,61,61,3086,3086,3086,7510,7916,7916,2893,7403,9365,9367,9367,9367,9367,9367,9367,12772,12772,12772,1377,2303,9460,9460,12604,36254,37163,38228,39126,43155,43374,45596,720,819,4133,11068,14387,17336,17336,17336,17336,19807,24104,27227,2469,12131,12346
