cuentas,31-mar-19,30-jun-19,30-sep-19,31-dic-19,31-mar-20,30-jun-20,30-sep-20,31-dic-20,31-mar-21,30-jun-21,30-sep-21,31-dic-21,31-mar-22,30-jun-22,30-sep-22,31-dic-22
A C T I V O,371677438.91,385252333.32,396442005.37,406451180.98,416009273.87,438761185.04,450474609.84,459296046.58,477048822.88,502787531.17,519109239.08,533352864.18,552088089.12,569092729.37,577768250.94,592254906.65
PASIVO,291426853.81,301185227.83,309873714.23,315993560.25,321129610.58,342300946.87,350099706.82,356013223.0,368577650.65,389644374.84,403249920.9,413655132.32,425693371.79,439165358.27,441585506.65,448436235.62
ESTADO DE RESULTADOS,3363478.55,5695910.25,7484605.12,16075880.51,2134657.66,4886292.25,7044362.62,14109938.15,3474393.53,6590164.64,9520934.46,16449678.9,4408408.25,7314188.11,10174361.53,24767029.79
