NIVEL,CUENTAS,ene-13,feb-13,mar-13,abr-13,may-13,jun-13,jul-13,ago-13,sep-13,oct-13,nov-13,dic-13,ene-14,feb-14,mar-14,abr-14,may-14,jun-14,jul-14,ago-14,sep-14,oct-14,nov-14,dic-14,ene-15,feb-15,mar-15,abr-15,may-15,jun-15,jul-15,ago-15,sep-15,oct-15,nov-15,dic-15,ene-16,feb-16,mar-16,abr-16,may-16,jun-16,jul-16,ago-16,sep-16,oct-16,nov-16,dic-16,ene-17,feb-17,mar-17,abr-17,may-17,jun-17,jul-17,ago-17,sep-17,oct-17,nov-17,dic-17,ene-18,feb-18,mar-18,abr-18,may-18,jun-18,jul-18,ago-18,sep-18,oct-18,nov-18,dic-18,ene-19,feb-19,mar-19,abr-19,may-19,jun-19,jul-19,ago-19,sep-19,oct-19,nov-19,dic-19,ene-20,feb-20,mar-20,abr-20,may-20,jun-20,jul-20,ago-20,sep-20,oct-20,nov-20,dic-20,ene-21,feb-21,mar-21,abr-21,may-21,jun-21,jul-21,ago-21,sep-21,oct-21,nov-21,dic-21,ene-22,feb-22,mar-22,abr-22,may-22,jun-22,jul-22,ago-22,sep-22,oct-22,nov-22,dic-22,ene-23,feb-23,mar-23,abr-23,may-23,jun-23,jul-23,ago-23,sep-23,oct-23,nov-23,dic-23,ene-24,feb-24,mar-24,abr-24,may-24,jun-24,jul-24,ago-24,sep-24,oct-24,nov-24,dic-24,ene-25,feb-25,mar-25
2,Estimacin preventiva para riesgos crediticios,-5458366,-5458366,-6311591,-6311591,-6311591,-6311591,-5408148,-5608719,-5881522,-6141766,-6430712,-6627624,-6627624,-6627624,-6061137,-6931740,-6931740,-6568058,-6568058,-7087121,-7087140,-7087120,-7087121,-6598832,-6707145,-6707145,-6207374,-6575226,-6755010,-6755136,-6515457,-6884833,-7327993,-7565452,-7639383,-7624838,-7911522,-7558144,-7601200,-7488817,-7488817,-7052346,-7072043,-6951400,-6951400,-6960808,-7481882,-7466176,-6993061,-7219812,-7213787,-7916836,-8067935,-8040601,-7999911,-8219218,-8722731,-9123365,-9758917,-9376998,-8744755,-8754445,-9394616,-9448451,-9686354,-8888684,-9391137,-9573681,-9450241,-10016238,-10696213,-13211780,-12324327,-12303637,-12650671,-13434821,-13755380,-13445893,-14304559,-15137344,-14437991,-15289787,-15933905,-14500845,-14647133,-14858757,-15592390,-15989756,-16768462,-15936712,-15336404,-15872026,-16495555,-17312870,-17749913,-16694917,-16780365,-16828855,-16035053,-16089519,-15930912,-15914284,-16228679,-15640795,-15792381,-16238505,-17326006,-16665452,-16407012,-16452164,-13646188,-13871387,-14005909,-13902840,-14470105,-14589769,-15095798,-15209833,-15887498,-15263800,-15125443,-15194557,-15268859,-15546819,-15175636,-15011617,-15711762,-12238796,-13411490,-13800119,-13476816,-13711825,-13615465,-13626396,-14420490,-14508836,-13712161,-14089322,-14855465,-15349460,-16045589,-16343574,-17080442,-16268979,-16161800,-15642081,-16655498
3,Estimacin preventiva para riesgos crediticios derivada de la calificacin,-5458366,-5458366,-6311591,-6311591,-6311591,-6311591,-5408148,-5608719,-5881522,-6141766,-6430712,-6497997,-6486360,-6498177,-5910117,-6786270,-6825641,-6469746,-6464164,-6980727,-6994088,-6961019,-6965591,-6489882,-6590086,-6602445,-6105738,-6450916,-6632911,-6643170,-6388762,-6758111,-7194512,-7429340,-7498799,-7482482,-7765832,-7410250,-7476524,-7369631,-7369631,-6938129,-6958647,-6826465,-6826465,-6842113,-7362138,-6914395,-6870445,-7097892,-7097892,-7754834,-7903949,-7903949,-7867686,-8045259,-8544909,-8943135,-9558838,-9215374,-8584091,-8595906,-9231667,-9231667,-9441807,-8694223,-9190559,-9371040,-9263128,-9821484,-10486240,-12862805,-12030594,-12030257,-12389975,-13180492,-13476100,-13170596,-13994923,-14821404,-14120435,-14954614,-15523381,-14187474,-14337373,-14587634,-15165552,-15572522,-16385179,-15541263,-14912220,-15412087,-16047386,-16855707,-17247421,-16221036,-16339569,-16378766,-15606875,-15618936,-15486645,-15413046,-15721106,-15150293,-15299586,-15717581,-16790778,-16149441,-15929715,-15978760,-13309416,-13470392,-13596167,-13501437,-14049538,-14182040,-14671607,-14798613,-15462635,-14841725,-14687820,-14763194,-14835836,-15099603,-14766070,-14579258,-15283987,-12033537,-13182923,-13557933,-13224016,-13447222,-13350583,-13378722,-14155538,-14240567,-13448862,-13817542,-14584418,-15065237,-15640057,-15870980,-16608068,-15981106,-15873496,-15363159,-16371799
4,Cartera de crdito,-5458366,-5458366,-6311591,-6311591,-6311591,-6311591,-5408148,-5608719,-5881522,-6141766,-6430712,-6497997,-6486360,-6498177,-5910117,-6786270,-6825641,-6469746,-6464164,-6980727,-6994088,-6961019,-6965591,-6489882,-6590086,-6602445,-6105738,-6450916,-6632911,-6643170,-6388762,-6758111,-7194512,-7429340,-7498799,-7482482,-7765832,-7410250,-7476524,-7369631,-7369631,-6938129,-6958647,-6826465,-6826465,-6842113,-7362138,-6914395,-6870445,-7097892,-7097892,-7754834,-7903949,-7903949,-7867686,-8045259,-8544909,-8943135,-9558838,-9215374,-8584091,-8595906,-9231667,-9231667,-9441807,-8694223,-9190559,-9371040,-9263128,-9821484,-10486240,-12862805,-12030594,-12030257,-12389975,-13180492,-13476100,-13170596,-13994923,-14821404,-14120435,-14954614,-15523381,-14187474,-14337373,-14587634,-15165552,-15572522,-16385179,-15541263,-14912220,-15412087,-16047386,-16855707,-17247421,-16221036,-16339569,-16378766,-15606876,-15618936,-15486645,-15413047,-15721106,-15150293,-15299586,-15717581,-16790778,-16149441,-15929715,-15978760,-13309416,-13470392,-13596167,-13501437,-14049538,-14182040,-14671608,-14798613,-15462635,-14841726,-14687820,-14763195,-14835835,-15099603,-14766070,-14579258,-15283986,-12033537,-13182923,-13557932,-13224017,-13447222,-13350583,-13378722,-14155538,-14240567,-13448863,-13817542,-14584418,-15065237,-15640058,-15870980,-16608067,-15981106,-15873496,-15363159,-16371799
5,Crditos comerciales, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,-1653,-6396,-18407,-30739,-46400,-53412,-79808,-106793,-117910,-137492,-192275,-199869,-206924,-251045,-253391,-277674,-264453,-305858,-315809,-352627,-368081,-385044,-387022,-366026,-424455,-435482,-397068,-429123,-397620,-481610,-417009,-339709,-354922,-399986,-436990,-451460,-492652,-495715,-493806,-518661,-593145,-513400,-491018,-467074,-483074,-512266,-537067,-515538,-589959,-591275,-558986,-457257,-501314
5,Crditos de consumo,-5458366,-5458366,-6311591,-6311591,-6311591,-6311591,-5408148,-5608719,-5881522,-6141766,-6430712,-6497997,-6486360,-6498177,-5910117,-6786270,-6825641,-6469746,-6464164,-6980727,-6994088,-6961019,-6965591,-6489882,-6590086,-6602445,-6105738,-6450916,-6632911,-6643170,-6388762,-6758111,-7194512,-7429340,-7498799,-7482482,-7765832,-7410250,-7476524,-7369631,-7369631,-6938129,-6958647,-6826465,-6826465,-6842113,-7362138,-6914395,-6870445,-7097892,-7097892,-7754834,-7903949,-7903949,-7867686,-8045259,-8544909,-8943135,-9558838,-9215374,-8584091,-8595906,-9231667,-9231667,-9441807,-8694223,-9190559,-9371040,-9263128,-9821484,-10486240,-12862805,-12030594,-12030257,-12389975,-13180492,-13476100,-13170596,-13994923,-14821404,-14120435,-14954614,-15523381,-14187474,-14337373,-14587634,-15165552,-15572522,-16385179,-15541263,-14912220,-15412087,-16047386,-16855707,-17245768,-16214640,-16321162,-16348027,-15560476,-15565524,-15406837,-15306254,-15603196,-15012801,-15107311,-15517712,-16583854,-15898396,-15676324,-15701086,-13044963,-13164534,-13280358,-13148810,-13681457,-13796996,-14284586,-14432587,-15038180,-14406244,-14290752,-14334072,-14438215,-14617993,-14349061,-14239549,-14929064,-11633551,-12745933,-13106472,-12731365,-12951507,-12856777,-12860061,-13562393,-13727167,-12957845,-13350468,-14101344,-14552971,-15102991,-15355442,-16018108,-15389831,-15314510,-14905902,-15870485
5,Crditos a la vivienda, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
3,Estimacin preventiva para riesgos crediticios adicional, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,-129627,-141264,-129447,-151020,-145470,-106099,-98312,-103894,-106394,-93052,-126101,-121530,-108950,-117059,-104700,-101636,-124310,-122099,-111966,-126695,-126722,-133481,-136112,-140584,-142356,-145690,-147894,-124676,-119186,-119186,-114217,-113396,-124935,-124935,-118695,-119744,-551781,-122616,-121920,-115895,-162002,-163986,-136652,-132225,-173959,-177822,-180230,-200079,-161624,-160664,-158539,-162949,-216784,-244547,-194461,-200578,-202641,-187113,-194754,-209973,-348975,-293733,-273380,-260696,-254329,-279280,-275297,-309636,-315940,-317556,-335173,-410524,-313371,-309760,-271123,-426838,-417234,-383283,-395449,-424184,-459939,-448169,-457163,-502492,-473881,-440796,-450089,-428178,-470583,-444267,-501238,-507573,-490502,-492795,-520924,-535228,-516011,-477297,-473404,-336772,-400995,-409742,-401403,-420567,-407729,-424191,-411220,-424863,-422075,-437623,-431363,-433023,-447216,-409566,-432359,-427775,-205259,-228567,-242186,-252800,-264603,-264882,-247674,-264952,-268269,-263299,-271780,-271047,-284223,-405532,-472594,-472374,-287873,-288304,-278922,-283699
2,Otras cuentas por cobrar,664815,1011938,956073,587244,755101,570080,923687,713836,1663676,1285950,1446753,666915,1202604,855720,1336017,777830,996718,787777,1110572,915023,1305913,812377,1021899,747421,1276211,946997,1317214,1035237,957403,993571,890631,1174694,2282862,1596876,1361941,766932,949972,1060203,1007193,1159042,928700,1036552,1177244,978143,1084600,1127441,1138385,1031983,962527,1015177,1004943,1044867,926845,1063329,1473992,1272173,1035112,1173710,1112496,1015746,970356,1126758,1131165,1279128,1388558,1384237,1303805,1263700,1313943,1355065,1608069,1540690,2003016,1777195,1567030,1756293,1486200,1539041,1366714,1518346,1509612,1328283,1312694,1165847,1137262,1386138,1499072,1520157,1673963,1551555,1668601,1923807,1462484,1647428,1804425,1454023,1857174,1792728,1824669,1740395,1711610,1681338,1713513,1656426,1769083,1790507,2222346,2030697,1814714,1814740,1610097,1777148,1850149,1930515,2127252,2024665,1921695,1960963,1996178,1924696,1821792,2102878,2312561,2388652,2382975,2401175,2411293,2328662,2127176,2352503,2528696,2486946,2881523,2866932,2794862,3094203,2695703,2782699,2865150,2924963,2982985,3167337,3056527,3222690,3358004,3766737,3756536
2,Bienes adjudicados, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,14700,14700,21350,21350,21350,19215,19215,19215,19215,19215,19215,12600,12600,12600,11200,11200,11200,7700, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,95146,95146,95146,95146,95146,95146,95146,95146,25752,25752,25752,25752
2,"Propiedades, mobiliario y equipo",7674537,7572929,7538228,7505033,7599783,7669089,7632869,7809116,9707717,10030619,10689448,11167131,11649822,12438801,12687382,13090425,13080852,13089294,13261633,13350207,13345210,13337904,13409403,12987904,12998247,12949902,12910069,12840549,12807442,12840610,12799567,12728260,12853637,13836639,14235425,14669463,14567114,14480635,14567842,14658525,14587746,14530801,14441698,14336230,14250117,14185286,14083017,14058317,13977500,13889875,13797237,13698485,13787088,13799110,13718662,13642074,13821683,13854577,13908568,13897813,14066802,14070103,14033642,13920408,13801888,13714258,13624366,13507549,13412546,13331824,13214501,13111023,12994584,14726155,14637783,15137264,15151094,15213245,15155270,15050960,14955970,14887855,15101738,15206296,15084247,14978218,15016270,14902031,14874486,14750039,14638532,14514912,14423501,14371469,14263147,14219661,14123986,14005613,13952152,13914837,13915770,13951862,13901929,13833879,13779303,13657526,13755870,14240022,14209070,14205599,14140647,14419655,14278147,15341317,15211030,15092392,15129220,15122404,15022412,14952945,15143853,15060489,14995405,14857176,14731835,14836007,14839591,14730206,14626846,14517498,14608227,14465887,14323277,14291176,14302044,14306037,14185159,14086420,14259118,14164063,18322720,19908136,19920744,21034091,21498801,21397787,22029172
