archivo_origen,modelo,MR0,MP0,diff0,MR1,MP1,diff1,MR2,MP2,diff2
validacionmodelo_Operaciones discontinuadas_True,Lasso,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
validacionmodelo_Otras cuentas por cobrar_True,Lasso,3358004,3003434.764135438,354569.235864562,3766737,2963142.4163719616,803594.5836280384,3756536,2853026.260778511,903509.739221489
validacionmodelo_Otras cuentas por pagar_True,Lasso,14075139,13288737.039045423,786401.9609545767,14987231,13220259.243844165,1766971.756155837,13527903,13125537.159437438,402365.8405625615
validacionmodelo_Otros activos_True,Lasso,1792279,930837.9563667554,861441.0436332446,1718950,897981.545611968,820968.454388032,1567336,880363.0787718683,686972.9212281317
validacionmodelo_Otros ingresos (egresos) de la operación_True,Lasso,-1540,282070.9385125701,-283610.9385125701,-5247,371625.44286246033,-376872.44286246033,4680,443488.07675793866,-438808.07675793866
"validacionmodelo_Participación en el resultado de subsidiarias no consolidadas, asociadas y negocios conjuntos_True",Lasso,0,2262.4496124031007,-2262.4496124031007,0,2262.4496124031007,-2262.4496124031007,0,2262.4496124031007,-2262.4496124031007
"validacionmodelo_Propiedades, mobiliario y equipo_True",Lasso,21498801,20407097.072773468,1091703.9272265325,21397787,19838170.68823939,1559616.3117606118,22029172,19321934.05983888,2707237.94016112
validacionmodelo_Pérdida por valorización_True,Lasso,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
validacionmodelo_Resultado neto_True,Lasso,4420136,27201227.3065439,-22781091.3065439,7102388,23055681.06801338,-15953293.06801338,9416839,19661492.486236285,-10244653.486236284
validacionmodelo_Resultado por intermediación_True,Lasso,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
validacionmodelo_Resultado por posición monetaria neto (margen financiero)_True,Lasso,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
validacionmodelo_Total ingresos_True,Lasso,10927979,94087933.18258429,-83159954.18258427,20585147,76790194.3544524,-56205047.3544524,31405794,64087952.07297953,-32682158.07297953
validacionmodelo_True,Lasso,280216243,272067065.5775445,8149177.42245549,290849436,272973472.2701753,17875963.72982472,293608122,273399730.20639414,20208391.793605864
validacionmodelo_Utilidad por valorización_True,Lasso,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
