archivo_origen,modelo,MR0,MP0,diff0,MR1,MP1,diff1,MR2,MP2,diff2
validacionmodelo_Otras cuentas por cobrar_True,RFPSO,3358004,2247331.7600000007,1110672.2399999993,3766737,2148415.020000001,1618321.979999999,3756536,2196031.32,1560504.6800000002
validacionmodelo_Otras cuentas por pagar_True,RFPSO,14075139,12256338.488372091,1818800.511627907,14987231,11972259.069767438,3014971.930232562,13527903,11521970.75581395,2005932.244186049
validacionmodelo_Otros activos_True,RFPSO,1792279,984910.9240506332,807368.0759493669,1718950,950365.0198915012,768584.9801084987,1567336,922984.9113924052,644351.0886075948
validacionmodelo_Otros ingresos (egresos) de la operación_True,RFPSO,-1540,751999.3125000001,-753539.3125000001,-5247,920658.375,-925905.375,4680,878452.0,-873772.0
"validacionmodelo_Participación en el resultado de subsidiarias no consolidadas, asociadas y negocios conjuntos_True",RFPSO,0,2364.566345368396,-2364.566345368396,0,2364.566345368396,-2364.566345368396,0,2364.566345368396,-2364.566345368396
"validacionmodelo_Propiedades, mobiliario y equipo_True",RFPSO,21498801,15106607.038961042,6392193.961038958,21397787,15091311.285714282,6306475.714285718,22029172,15069233.636363631,6959938.363636369
validacionmodelo_Pérdida por valorización_True,RFPSO,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
validacionmodelo_Resultado neto_True,RFPSO,4420136,23705171.0,-19285035.0,7102388,10481735.64285714,-3379347.64285714,9416839,21018179.57142857,-11601340.571428576
validacionmodelo_Resultado por intermediación_True,RFPSO,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
validacionmodelo_Resultado por posición monetaria neto (margen financiero)_True,RFPSO,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
validacionmodelo_Total ingresos_True,RFPSO,10927979,81205342.278481,-70277363.278481,20585147,63579794.215189874,-42994647.215189874,31405794,65265097.07594936,-33859303.07594936
validacionmodelo_True,RFPSO,280216243,235815293.3750001,44400949.62499988,290849436,234606422.6785716,56243013.32142842,293608122,233849977.19642848,59758144.80357152
validacionmodelo_Utilidad por valorización_True,RFPSO,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
