archivo_origen,modelo,MR0,MP0,diff0,MR1,MP1,diff1,MR2,MP2,diff2
validacionmodelo_Otras cuentas por pagar_True,RF,14075139,12079911.85,1995227.1499999985,14987231,12028633.949999996,2958597.0500000026,13527903,11585645.710000005,1942257.2899999968
validacionmodelo_Otros activos_True,RF,1792279,993403.8072023796,798875.1927976205,1718950,956988.3728598488,761961.6271401511,1567336,1030902.0735714271,536433.9264285729
validacionmodelo_Otros ingresos (egresos) de la operación_True,RF,-1540,553177.3100000005,-554717.3100000005,-5247,782250.9475000005,-787497.9475000005,4680,771275.8558333333,-766595.8558333333
"validacionmodelo_Participación en el resultado de subsidiarias no consolidadas, asociadas y negocios conjuntos_True",RF,0,2279.946118710798,-2279.946118710798,0,2279.946118710798,-2279.946118710798,0,2279.946118710798,-2279.946118710798
"validacionmodelo_Propiedades, mobiliario y equipo_True",RF,21498801,15113092.254999995,6385708.745000005,21397787,15092629.57,6305157.43,22029172,15088059.66,6941112.34
validacionmodelo_Pérdida por valorización_True,RF,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
validacionmodelo_Resultado neto_True,RF,4420136,24774056.455,-20353920.455,7102388,17216030.617499977,-10113642.617499975,9416839,18846275.00249999,-9429436.00249999
validacionmodelo_Resultado por intermediación_True,RF,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
validacionmodelo_Resultado por posición monetaria neto (margen financiero)_True,RF,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
validacionmodelo_Total ingresos_True,RF,10927979,79427479.14999996,-68499500.14999996,20585147,68564025.53999999,-47978878.53999999,31405794,78264410.24999999,-46858616.24999999
validacionmodelo_True,RF,280216243,235415877.1800001,44800365.8199999,290849436,234833699.80000016,56015736.19999984,293608122,234409280.46500003,59198841.53499997
validacionmodelo_Utilidad por valorización_True,RF,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
